Step,Value
541,-44.0
542,-42.83684158325195
543,-43.570526123046875
544,-42.48124694824219
545,-56.552791595458984
546,-42.24966812133789
547,-50.84772491455078
548,-38.05789566040039
549,-41.48124694824219
550,-49.81910705566406
551,-47.865455627441406
552,-46.0
553,-44.0
554,-49.0
555,-41.48124694824219
556,-42.0
557,-46.0
558,-42.0
559,-42.83684158325195
560,-67.58683013916016
561,-43.70229721069336
562,-42.48124694824219
563,-46.0
564,-40.05177307128906
565,-32.38420867919922
566,-45.0
567,-54.552791595458984
568,-44.0
569,-43.0
570,-45.14105224609375
571,-36.154930114746094
572,-29.38421058654785
573,-38.3289680480957
574,-31.407367706298828
575,-51.98226547241211
576,-46.05177307128906
577,-41.38420867919922
578,-46.77384567260742
579,-45.81910705566406
580,-43.954734802246094
581,-52.4635124206543
582,-45.38420867919922
583,-48.14105224609375
584,-45.44374084472656
585,-48.05177307128906
586,-48.81910705566406
587,-40.83684158325195
588,-43.0
589,-41.0
590,-51.84772491455078
591,-43.40736770629883
592,-48.0
593,-43.0
594,-47.570526123046875
595,-55.552791595458984
596,-43.83684158325195
597,-43.570526123046875
598,-49.570526123046875
599,-44.0
600,-41.954734802246094
601,-25.801374435424805
602,-38.31808853149414
603,-41.0
604,-40.0
605,-43.570526123046875
606,-42.570526123046875
607,-45.03403854370117
608,-49.98226547241211
609,-45.20331954956055
610,-48.570526123046875
611,-40.38420867919922
612,-48.570526123046875
613,-48.48124694824219
614,-53.38963317871094
615,-40.7684211730957
616,-44.48124694824219
617,-51.4635124206543
618,-42.24966812133789
619,-45.0
620,-43.4635124206543
621,-3.82019305229187
622,-21.407367706298828
623,-41.48124694824219
624,-44.48124694824219
625,-41.7684211730957
626,-45.83684158325195
627,-41.38420867919922
628,-48.48124694824219
629,-44.53302001953125
630,-41.865455627441406
631,-47.0
632,-46.38420867919922
633,-39.0
634,-49.684566497802734
635,-31.98226547241211
636,-32.48124694824219
637,-45.954734802246094
638,-44.865455627441406
639,-46.0
640,-59.80137634277344
641,-55.4635124206543
642,-42.38420867919922
643,-40.865455627441406
644,-40.52526092529297
645,-52.77384567260742
646,-54.21419906616211
647,-39.33894729614258
648,-65.96453094482422
649,-39.346702575683594
650,-47.0
651,-48.0
652,-50.98226547241211
653,-46.0
654,-43.33894729614258
655,-45.962493896484375
656,-54.366477966308594
657,-37.7684211730957
658,-41.98226547241211
