Step,Value
1293,1.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,2.0
1304,2.0
1305,1.0
1306,3.0
1307,2.0
1308,1.0
1309,0.0
1310,1.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,1.0
1317,2.0
1318,2.0
1319,2.0
1320,1.0
1321,2.0
1322,2.0
1323,1.0
1324,0.0
1325,0.0
1326,5.0
1327,0.0
1328,0.0
1329,0.0
1330,1.0
1331,0.0
1332,1.0
1333,0.0
1334,1.0
1335,1.0
1336,0.0
1337,2.0
1338,0.0
1339,2.0
1340,2.0
1341,0.0
1342,3.0
1343,2.0
1344,2.0
1345,0.0
1346,0.0
1347,0.0
1348,4.0
1349,0.0
1350,1.0
1351,0.0
1352,0.0
1353,0.0
1354,1.0
1355,0.0
1356,0.0
1357,0.0
1358,2.0
1359,0.0
1360,4.0
1361,2.0
1362,4.0
1363,0.0
1364,0.0
1365,0.0
1366,1.0
1367,1.0
1368,0.0
1369,4.0
1370,0.0
1371,1.0
1372,0.0
1373,3.0
1374,0.0
1375,1.0
1376,2.0
1377,2.0
1378,1.0
1379,0.0
1380,0.0
1381,1.0
1382,1.0
1383,1.0
1384,1.0
1385,1.0
1386,4.0
1387,4.0
1388,1.0
1389,0.0
1390,1.0
1391,1.0
1392,0.0
1393,0.0
1394,0.0
1395,2.0
1396,0.0
1397,0.0
1398,1.0
1399,1.0
1400,2.0
1401,1.0
1402,0.0
1403,0.0
1404,2.0
1405,0.0
1406,0.0
1407,0.0
1408,3.0
1409,0.0
1410,1.0
1411,0.0
1412,1.0
1413,0.0
1414,1.0
1415,1.0
1416,0.0
1417,1.0
1418,0.0
1419,3.0
1420,1.0
1421,0.0
1422,2.0
1423,0.0
1424,3.0
1425,1.0
1426,2.0
1427,1.0
1428,0.0
1429,2.0
1430,2.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
