Step,Value
1270,3.0
1271,4.0
1272,0.0
1273,0.0
1274,1.0
1275,2.0
1276,2.0
1277,2.0
1278,1.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.0
1287,1.0
1288,1.0
1289,3.0
1290,3.0
1291,1.0
1292,0.0
1293,0.0
1294,1.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,1.0
1303,1.0
1304,0.0
1305,0.0
1306,5.0
1307,4.0
1308,3.0
1309,2.0
1310,1.0
1311,2.0
1312,0.0
1313,1.0
1314,0.0
1315,0.0
1316,0.0
1317,1.0
1318,1.0
1319,2.0
1320,1.0
1321,0.0
1322,0.0
1323,0.0
1324,2.0
1325,2.0
1326,1.0
1327,0.0
1328,1.0
1329,1.0
1330,1.0
1331,2.0
1332,3.0
1333,1.0
1334,0.0
1335,1.0
1336,0.0
1337,1.0
1338,2.0
1339,0.0
1340,1.0
1341,1.0
1342,2.0
1343,1.0
1344,2.0
1345,1.0
1346,0.0
1347,3.0
1348,2.0
1349,0.0
1350,0.0
1351,0.0
1352,1.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,1.0
1358,3.0
1359,0.0
1360,2.0
1361,0.0
1362,0.0
1363,1.0
1364,1.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,1.0
1373,2.0
1374,0.0
1375,3.0
1376,5.0
1377,0.0
1378,2.0
1379,2.0
1380,0.0
1381,1.0
1382,1.0
1383,3.0
1384,0.0
1385,0.0
1386,1.0
1387,1.0
1388,0.0
1389,0.0
1390,1.0
1391,1.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,1.0
1397,2.0
1398,0.0
1399,1.0
1400,2.0
1401,3.0
1402,0.0
1403,0.0
1404,2.0
1405,0.0
1406,1.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,1.0
1416,2.0
1417,1.0
1418,0.0
1419,1.0
1420,0.0
1421,0.0
1422,0.0
1423,2.0
1424,0.0
1425,0.0
1426,0.0
1427,1.0
1428,2.0
1429,0.0
1430,2.0
1431,0.0
1432,1.0
1433,0.0
1434,1.0
1435,2.0
1436,0.0
1437,0.0
1438,0.0
1439,1.0
1440,0.0
1441,1.0
1442,0.0
1443,1.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,1.0
1451,0.0
1452,1.0
1453,0.0
1454,1.0
1455,0.0
1456,0.0
1457,1.0
1458,5.0
1459,2.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,1.0
1467,0.0
1468,1.0
1469,0.0
1470,0.0
1471,0.0
1472,0.0
1473,0.0
1474,2.0
1475,0.0
1476,0.0
1477,0.0
1478,2.0
1479,2.0
1480,0.0
1481,2.0
1482,1.0
1483,1.0
1484,0.0
1485,0.0
1486,1.0
1487,0.0
1488,1.0
1489,1.0
1490,1.0
1491,0.0
1492,1.0
1493,0.0
1494,0.0
1495,1.0
1496,1.0
1497,0.0
1498,1.0
1499,1.0
1500,1.0
1501,2.0
1502,4.0
1503,1.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,1.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,1.0
1519,2.0
1520,0.0
1521,0.0
1522,1.0
1523,0.0
1524,0.0
1525,1.0
1526,1.0
1527,0.0
1528,0.0
1529,0.0
1530,2.0
1531,1.0
1532,0.0
1533,1.0
1534,1.0
1535,3.0
1536,2.0
1537,1.0
1538,0.0
1539,0.0
1540,1.0
1541,0.0
1542,0.0
1543,1.0
1544,1.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,3.0
1551,0.0
1552,0.0
1553,3.0
1554,3.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,1.0
1561,1.0
1562,0.0
1563,0.0
1564,2.0
1565,1.0
1566,1.0
1567,1.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,1.0
1573,2.0
1574,1.0
1575,1.0
1576,2.0
1577,2.0
1578,0.0
1579,3.0
1580,0.0
1581,1.0
1582,1.0
1583,2.0
1584,0.0
1585,1.0
1586,1.0
1587,1.0
1588,1.0
1589,0.0
1590,1.0
1591,1.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,1.0
1599,1.0
1600,0.0
1601,0.0
1602,1.0
1603,0.0
1604,2.0
1605,0.0
1606,0.0
1607,1.0
1608,1.0
1609,0.0
1610,0.0
1611,0.0
