================================================================================
PPO_LSTM TRAINING RESULTS - 40000 EPOCHS
================================================================================
Generated: 2026-01-20 17:32:38
Model Type: ppo_lstm
Epochs: 40000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
450      21.956321       43.00       
451      30.721979       40.00       
452      40.201487       12.00       
453      33.152848       42.00       
454      18.260855       12.00       
455      46.162197       47.00       
456      137.366150      90.00       
457      53.827150       36.00       
458      18.287290       40.00       
459      44.247011       50.00       
460      26.905167       46.00       
461      14.385606       17.00       
462      48.957670       35.00       
463      30.449277       33.00       
464      26.372407       35.00       
465      15.624835       5.00        
466      22.215551       15.00       
467      130.630608      76.00       
468      31.198550       46.00       
469      31.572105       36.00       
470      31.007927       12.00       
471      29.329970       21.00       
472      8.766892        36.00       
473      19.728304       36.00       
474      36.653905       34.00       
475      60.680540       53.00       
476      19.618650       12.00       
477      44.349207       0.00        
478      92.806671       22.00       
479      127.167730      63.00       
480      65.251858       -13.00      
481      54.745482       -11.00      
482      38.509339       33.00       
483      33.648081       19.00       
484      19.694810       11.00       
485      17.876972       18.00       
486      18.829262       40.00       
487      52.434578       -14.00      
488      49.823251       21.00       
489      22.664564       16.00       
490      36.779603       12.00       
491      38.845363       -9.00       
492      42.513748       -13.00      
493      18.475338       13.00       
494      68.400490       51.00       
495      28.808256       -2.00       
496      37.287272       41.00       
497      35.388763       30.00       
498      48.360559       28.00       
499      16.110358       2.00        
500      41.945335       57.00       
501      12.739805       37.00       
502      32.930967       21.00       
503      38.656194       38.00       
504      83.382584       47.00       
505      14.962192       13.00       
506      23.854934       29.00       
507      42.490129       34.00       
508      9.327038        19.00       
509      30.106146       36.00       
510      37.206075       41.00       
511      34.616251       46.00       
512      19.285295       21.00       
513      35.982439       38.00       
514      12.838352       18.00       
515      8.241549        22.00       
516      33.508950       -7.00       
517      38.524066       31.00       
518      15.218539       22.00       
519      25.751581       8.00        
520      19.839752       19.00       
521      21.112975       13.00       
522      19.050186       -1.00       
523      17.161405       4.00        
524      19.890771       24.00       
525      18.751931       16.00       
526      118.686089      64.00       
527      30.219736       47.00       
528      14.160803       29.00       
