================================================================================
CPC TRAINING RESULTS - 500 EPOCHS, CPC START AT EPOCH 10
================================================================================
Generated: 2026-01-20 14:52:23
Epochs: 500
CPC Start Epoch: 10
CPC Memory Bank Size: 4
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
370      56.076655       15.839437       -3.00        4/4       
371      108.144299      14.123989       -1395.00     4/4       
372      99.366096       17.251518       1902.00      4/4       
373      57.457863       17.881586       -438.00      4/4       
374      32.739913       14.865357       -473.00      4/4       
375      39.531926       22.888422       -329.00      4/4       
376      81.802727       25.332521       806.00       4/4       
377      63.030036       20.635937       687.00       4/4       
378      87.641773       16.512350       -563.00      4/4       
379      100.670687      23.838835       -1141.00     4/4       
380      52.034435       23.216150       710.00       4/4       
381      57.908473       17.649712       -659.00      4/4       
382      116.160852      16.824783       2256.00      4/4       
383      19.941064       21.053148       -522.00      4/4       
384      25.346929       23.868160       -659.00      4/4       
385      35.870925       24.382658       -605.00      4/4       
386      49.839213       25.065165       -568.00      4/4       
387      178.696144      21.186543       2410.00      4/4       
388      76.957952       20.440041       2059.00      4/4       
389      20.241640       20.063047       274.00       4/4       
390      36.886177       19.586964       -38.00       4/4       
391      31.941087       21.265745       692.00       4/4       
392      60.571621       21.591875       1878.00      4/4       
393      54.242116       15.108047       2031.00      4/4       
394      89.736933       15.151843       1446.00      4/4       
395      269.171837      15.127638       3086.00      4/4       
396      76.836838       12.737763       638.00       4/4       
397      43.372766       12.547920       317.00       4/4       
398      92.434824       12.747522       1505.00      4/4       
399      85.413971       13.065428       1253.00      4/4       
400      20.512973       11.358693       -321.00      4/4       
401      22.561172       13.349016       108.00       4/4       
402      85.600906       15.847755       1647.00      4/4       
403      239.801189      15.436762       2067.00      4/4       
404      43.884954       16.053967       1186.00      4/4       
405      66.518188       16.749401       963.00       4/4       
406      82.798883       13.462141       1115.00      4/4       
407      97.358616       12.575625       1476.00      4/4       
408      157.550907      13.641079       995.00       4/4       
409      137.639313      13.802752       1758.00      4/4       
410      52.691081       14.325505       513.00       4/4       
411      62.826449       13.350340       658.00       4/4       
412      184.043423      11.552156       1166.00      4/4       
413      178.082214      17.485371       2407.00      4/4       
414      139.252750      17.549641       2104.00      4/4       
415      150.729393      16.941162       901.00       4/4       
416      51.065310       17.787762       1330.00      4/4       
417      421.105782      17.718225       2987.00      4/4       
418      128.815485      12.105340       1693.00      4/4       
419      49.492653       11.444144       876.00       4/4       
420      232.741394      12.051071       2314.00      4/4       
421      51.900568       11.249024       1340.00      4/4       
422      15.459148       10.856100       18.00        4/4       
423      57.159276       8.906834        944.00       4/4       
424      50.701230       10.150902       441.00       4/4       
425      92.713678       9.339721        1999.00      4/4       
426      152.450268      14.052547       2225.00      4/4       
427      67.424616       14.745385       1363.00      4/4       
428      77.586409       14.244772       1763.00      4/4       
429      107.713821      13.762791       2330.00      4/4       
430      280.160622      12.814850       2469.00      4/4       
431      67.244097       11.771171       1592.00      4/4       
432      87.003372       10.862046       259.00       4/4       
433      102.628325      10.207042       1570.00      4/4       
434      93.236624       8.870028        1882.00      4/4       
435      76.644402       8.169338        1000.00      4/4       
436      264.438095      8.814327        2525.00      4/4       
437      107.719635      9.447207        1838.00      4/4       
438      44.466249       10.255287       447.00       4/4       
439      132.905235      12.176189       1295.00      4/4       
440      199.466927      13.546391       1870.00      4/4       
441      95.932213       16.736853       2055.00      4/4       
442      171.073746      15.457300       2274.00      4/4       
443      76.658880       12.036876       1336.00      4/4       
444      88.587154       15.424767       1566.00      4/4       
445      71.582882       15.331268       1869.00      4/4       
446      50.226325       13.339355       961.00       4/4       
447      76.006157       12.506852       1568.00      4/4       
448      57.795023       10.607168       1383.00      4/4       
449      35.158631       9.945192        288.00       4/4       
450      252.377579      9.500168        3160.00      4/4       
451      43.798359       7.754234        658.00       4/4       
452      30.748017       6.518365        944.00       4/4       
453      125.994013      12.425748       2647.00      4/4       
454      87.938324       12.905205       1869.00      4/4       
455      145.814613      12.503633       2537.00      4/4       
456      271.236511      12.643667       2498.00      4/4       
457      113.370392      14.190692       1984.00      4/4       
458      35.090594       8.399191        711.00       4/4       
459      56.987329       9.302402        -121.00      4/4       
460      206.998585      10.599624       2479.00      4/4       
461      131.642422      9.620945        1990.00      4/4       
462      213.184502      8.378601        3072.00      4/4       
463      59.271173       8.607953        1712.00      4/4       
464      142.047398      7.961510        2201.00      4/4       
465      102.951633      7.074850        2133.00      4/4       
466      78.201040       7.524469        777.00       4/4       
467      352.391258      8.847013        3218.00      4/4       
468      429.748077      11.156513       3028.00      4/4       
469      217.364162      12.975886       3163.00      4/4       
470      122.352713      13.834255       1814.00      4/4       
471      578.725571      14.354838       4171.00      4/4       
472      75.372709       13.661237       1334.00      4/4       
473      68.765018       12.338967       783.00       4/4       
474      78.789253       11.286619       1509.00      4/4       
475      66.495255       10.474593       1898.00      4/4       
