================================================================================
CPC TRAINING RESULTS - 2000 EPOCHS
================================================================================
Generated: 2026-01-20 15:52:04
Model Type: ppo_lstm_cpc
Epochs: 2000
CPC Start Epoch: 10
CPC Memory Bank Size: 5
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
296      76.676357       13.215973       34.00        5/5       
297      81.217985       13.765518       48.00        5/5       
298      107.193069      14.188869       52.00        5/5       
299      77.113604       16.958979       42.00        5/5       
300      85.796392       17.381968       -20.00       5/5       
301      49.892502       16.025621       3.00         5/5       
302      101.418388      15.918890       42.00        5/5       
303      94.203068       16.732821       10.00        5/5       
304      33.501759       21.327421       41.00        5/5       
305      29.714293       23.675676       36.00        5/5       
306      57.361989       27.882311       54.00        5/5       
307      83.608917       29.293705       59.00        5/5       
308      51.052634       28.363657       10.00        5/5       
309      52.025686       28.507904       3.00         5/5       
310      50.563248       25.251657       20.00        5/5       
311      82.036297       21.244143       57.00        5/5       
312      114.189362      16.985563       82.00        5/5       
313      224.613976      15.759991       103.00       5/5       
314      39.892702       15.828673       10.00        5/5       
315      168.099659      16.253918       84.00        5/5       
316      187.294014      13.553272       82.00        5/5       
317      405.733391      12.020698       130.00       5/5       
318      501.908745      13.577834       142.00       5/5       
319      816.503387      13.694201       180.00       5/5       
320      348.271339      14.249626       134.00       5/5       
321      393.895737      13.294117       134.00       5/5       
322      240.608994      11.890673       104.00       5/5       
323      324.536545      13.612691       126.00       5/5       
324      394.862717      13.470746       134.00       5/5       
325      343.253654      13.603539       129.00       5/5       
326      95.995087       14.063298       64.00        5/5       
327      140.504143      13.761621       85.00        5/5       
328      180.226910      14.091673       80.00        5/5       
329      70.240179       11.493885       39.00        5/5       
330      298.346512      11.212329       114.00       5/5       
331      199.399010      11.433072       103.00       5/5       
332      261.773865      11.465961       115.00       5/5       
333      83.708122       11.638100       83.00        5/5       
334      110.582111      14.412537       94.00        5/5       
335      90.482817       14.262218       78.00        5/5       
336      280.368248      14.257013       112.00       5/5       
337      143.655521      16.228529       62.00        5/5       
338      70.433891       16.841946       79.00        5/5       
339      88.209810       16.047453       0.00         5/5       
340      177.902122      14.457528       79.00        5/5       
341      143.041481      14.763283       86.00        5/5       
342      429.553802      15.049850       134.00       5/5       
343      302.594856      11.935945       133.00       5/5       
344      99.541204       11.135889       76.00        5/5       
345      163.885490      10.721058       87.00        5/5       
346      73.388754       9.863832        46.00        5/5       
347      78.519907       9.003784        42.00        5/5       
348      60.079524       8.238790        31.00        5/5       
349      513.047379      8.050639        154.00       5/5       
350      214.428989      7.645413        104.00       5/5       
351      527.818665      7.343963        143.00       5/5       
352      271.081032      7.714625        125.00       5/5       
353      82.466255       8.441171        74.00        5/5       
354      417.882408      8.845509        133.00       5/5       
355      191.541931      9.990400        77.00        5/5       
356      128.654663      11.075800       83.00        5/5       
357      82.428120       10.752383       11.00        5/5       
358      308.746033      11.203384       120.00       5/5       
359      330.591866      12.093082       133.00       5/5       
360      809.431122      12.600807       176.00       5/5       
361      149.126953      11.967402       93.00        5/5       
362      352.356537      11.775858       134.00       5/5       
363      510.656265      12.551501       166.00       5/5       
364      773.043152      12.022065       184.00       5/5       
365      140.129780      9.941319        85.00        5/5       
366      116.700115      10.886609       86.00        5/5       
367      566.329559      11.051406       166.00       5/5       
368      140.741364      11.714450       80.00        5/5       
369      375.118958      13.558346       138.00       5/5       
370      165.645298      15.896596       97.00        5/5       
371      189.582996      16.146248       104.00       5/5       
372      118.887629      15.453755       60.00        5/5       
373      407.518303      16.165035       125.00       5/5       
374      143.305744      16.991419       97.00        5/5       
375      76.200954       15.415648       50.00        5/5       
376      280.700378      14.475618       123.00       5/5       
377      209.547459      16.097925       125.00       5/5       
378      145.043804      16.661861       75.00        5/5       
379      337.592079      16.517929       136.00       5/5       
380      79.760424       15.557292       66.00        5/5       
381      176.839466      14.990562       102.00       5/5       
382      105.171490      12.389006       64.00        5/5       
383      379.458832      11.496559       150.00       5/5       
384      68.735926       9.679190        48.00        5/5       
385      99.092817       8.930939        74.00        5/5       
386      142.139790      9.511852        80.00        5/5       
387      90.616419       12.656568       35.00        5/5       
388      92.733732       12.535940       58.00        5/5       
389      178.339806      15.254850       65.00        5/5       
390      655.706207      16.562252       186.00       5/5       
391      219.780411      16.886332       114.00       5/5       
392      172.411373      16.975470       93.00        5/5       
393      103.830566      19.470152       50.00        5/5       
394      108.540133      20.006735       77.00        5/5       
395      106.261005      19.777481       73.00        5/5       
396      201.408600      19.270794       121.00       5/5       
397      133.700535      18.561466       93.00        5/5       
398      221.990047      18.981741       100.00       5/5       
399      161.774178      16.602119       78.00        5/5       
400      127.756828      15.276685       34.00        5/5       
401      282.392700      14.682210       131.00       5/5       
402      385.379478      14.304644       152.00       5/5       
403      381.431717      14.096125       148.00       5/5       
404      226.183735      11.999721       105.00       5/5       
405      148.472126      12.049699       57.00        5/5       
406      270.043320      13.961058       118.00       5/5       
407      123.773703      14.647017       65.00        5/5       
408      202.848553      14.318697       101.00       5/5       
409      143.518227      14.995653       76.00        5/5       
410      141.491451      23.427320       58.00        5/5       
411      268.170319      24.020264       72.00        5/5       
412      159.591930      22.157654       44.00        5/5       
413      359.615524      19.681658       139.00       5/5       
414      83.552534       18.111893       29.00        5/5       
415      200.578217      14.876443       25.00        5/5       
416      163.124973      20.287624       6.00         5/5       
417      107.278467      19.952490       11.00        5/5       
418      153.198322      20.098436       0.00         5/5       
419      123.810299      19.593613       1.00         5/5       
420      260.087612      20.345158       115.00       5/5       
421      124.736130      19.567415       27.00        5/5       
422      157.451344      18.591770       32.00        5/5       
423      127.092182      18.336479       0.00         5/5       
424      110.368649      16.706800       57.00        5/5       
425      105.289141      15.750831       51.00        5/5       
426      138.839565      17.289509       64.00        5/5       
427      219.986454      17.554899       89.00        5/5       
428      388.127037      21.055107       143.00       5/5       
429      212.386929      23.433203       100.00       5/5       
430      133.204609      23.254068       50.00        5/5       
431      128.960451      22.223415       88.00        5/5       
432      288.178566      21.608158       113.00       5/5       
433      180.953148      22.638924       92.00        5/5       
434      170.644424      20.968714       64.00        5/5       
435      127.257269      16.539482       14.00        5/5       
436      229.252274      14.101234       -17.00       5/5       
437      142.347378      14.053180       32.00        5/5       
438      92.295612       13.959916       29.00        5/5       
439      197.029259      14.429626       -3.00        5/5       
440      236.631916      15.997777       97.00        5/5       
441      78.452103       16.629322       54.00        5/5       
442      195.861996      16.102627       -16.00       5/5       
443      199.598499      15.437226       -13.00       5/5       
444      757.603409      17.948593       177.00       5/5       
445      157.606728      14.684538       -8.00        5/5       
446      196.311710      12.439154       88.00        5/5       
447      109.485434      11.798989       51.00        5/5       
448      139.355637      12.048607       39.00        5/5       
449      79.364727       12.529663       46.00        5/5       
450      356.948082      10.671547       140.00       5/5       
